"Id";"Identificador";"Huella";"Cantidad";"Identificación";"Suministrador y ref";
1;"C7,C9";"C_0805_2012Metric";2;"0.1uF";;;
2;"TP4";"TestPoint_Pad_2.0x2.0mm";1;"Test_AGND";;;
3;"R9,R11";"R_0603_1608Metric";2;"150";;;
4;"FB1";"L_0603_1608Metric";1;"2A";;;
5;"R5,R4";"R_0603_1608Metric";2;"2.2k";;;
6;"D2";"SOT-23";1;"BAT54S";;;
7;"L2";"L_0603_1608Metric";1;"100uH";;;
8;"R13,R10";"R_0603_1608Metric";2;"10k";;;
9;"D1";"D_SOD-123";1;"1N4148W";;;
10;"J2";"USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal";1;"USB_C";;;
11;"U3";"SOIC-8_5.3x5.3mm_P1.27mm";1;"ATtiny85V-10S";;;
12;"Q3,Q1,Q2";"SOIC127P600X175-8N";3;"DMN3010";;;
13;"LED4,LED2";"GWJTLMS3CMG6G9XX5101";2;"GW_JTLMS3";;;
14;"R7,R12,R6,R8";"R_0603_1608Metric";4;"100";;;
15;"C8";"C_1206_3216Metric";1;"2.2uF";;;
16;"SPI1";"PinHeader_1x06_P1.00mm_Vertical_SMD_Pin1Left";1;"TSW-106-08-F-S";;;
17;"D6,D5";"D_SMA";2;"SMAJ5.0A";;;
18;"J1";"JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical";1;"Conn_01x02_Pin";;;
19;"TP3";"TestPoint_Pad_2.0x2.0mm";1;"Test_DGND";;;
20;"IC1";"VCNL4040M3OEH3";1;"VCNL4040";;;
21;"LED6,LED3";"VLMU35CL20275120";2;"VLMU35";;;
22;"BZ1";"MagneticBuzzer_ProSignal_ABI-009-RC";1;"Buzzer";;;
23;"TP2";"TestPoint_Pad_2.0x2.0mm";1;"Test_3.3V";;;
24;"TP1";"TestPoint_Pad_2.0x2.0mm";1;"Test_5V";;;
25;"C5";"C_0805_2012Metric";1;"1uF";;;
26;"U1";"SOT-23-5";1;"AP2112K";;;
27;"C1";"CP_Elec_6.3x5.3";1;"100uF";;;
